2019-11-21 11:39:28.116  INFO [file-center,,,] 1535968 --- [main] c.b.mws.file.FileCenterApplication       : No active profile set, falling back to default profiles: default
2019-11-21 11:39:29.829  WARN [file-center,,,] 1535968 --- [main] o.s.boot.actuate.endpoint.EndpointId     : Endpoint ID 'service-registry' contains invalid characters, please migrate to a valid format.
2019-11-21 11:39:30.089  INFO [file-center,,,] 1535968 --- [main] o.s.cloud.context.scope.GenericScope     : BeanFactory id=58af3b0a-0c38-33d3-8c5d-9753e966ba24
2019-11-21 11:39:31.342  INFO [file-center,,,] 1535968 --- [main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2019-11-21 11:39:31.343  INFO [file-center,,,] 1535968 --- [main] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.16]
2019-11-21 11:39:31.348  INFO [file-center,,,] 1535968 --- [main] o.a.catalina.core.AprLifecycleListener   : The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [C:\Program Files\Java\jdk1.8.0_172\bin;C:\Windows\Sun\Java\bin;C:\Windows\system32;C:\Windows;C:\Program Files (x86)\Common Files\Oracle\Java\javapath;C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\;D:\JAVA\apache-maven-3.6.0\bin;F:\zhoux\svn\bin;F:\zhoux\erl\erl10.5\bin;%RABBITMQ_HOME%\sbin;C:\Program Files\Git\cmd;F:\zhoux\nodejs\;F:\zhoux\docker\Docker Toolbox;F:\zhoux\docker\Docker Toolbox;C:\Users\windows7\AppData\Roaming\npm;.]
2019-11-21 11:39:31.552  INFO [file-center,,,] 1535968 --- [main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2019-11-21 11:39:31.553  INFO [file-center,,,] 1535968 --- [main] o.s.web.context.ContextLoader            : Root WebApplicationContext: initialization completed in 3410 ms
2019-11-21 11:39:31.756  WARN [file-center,,,] 1535968 --- [main] c.n.c.sources.URLConfigurationSource     : No URLs will be polled as dynamic configuration sources.
2019-11-21 11:39:31.756  INFO [file-center,,,] 1535968 --- [main] c.n.c.sources.URLConfigurationSource     : To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2019-11-21 11:39:31.789  INFO [file-center,,,] 1535968 --- [main] c.netflix.config.DynamicPropertyFactory  : DynamicPropertyFactory is initialized with configuration sources: com.netflix.config.ConcurrentCompositeConfiguration@361d8567
2019-11-21 11:39:46.403  INFO [file-center,,,] 1535968 --- [main] .s.s.UserDetailsServiceAutoConfiguration : 

Using generated security password: dbe22722-3520-4394-b7d7-9215c63749b9

2019-11-21 11:39:47.439  INFO [file-center,,,] 1535968 --- [main] o.s.s.web.DefaultSecurityFilterChain     : Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@52539624, org.springframework.security.web.context.SecurityContextPersistenceFilter@3ade99bb, org.springframework.security.web.header.HeaderWriterFilter@522221e1, org.springframework.security.web.authentication.logout.LogoutFilter@7375ebe7, org.springframework.security.oauth2.provider.authentication.OAuth2AuthenticationProcessingFilter@752573df, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@76a1cc1a, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@5e89e527, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@34e1c23d, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@1001b435, org.springframework.security.web.session.SessionManagementFilter@6c96dc5c, org.springframework.security.web.access.ExceptionTranslationFilter@6ae55678, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@63f819a6]
2019-11-21 11:39:47.538  WARN [file-center,,,] 1535968 --- [main] c.n.c.sources.URLConfigurationSource     : No URLs will be polled as dynamic configuration sources.
2019-11-21 11:39:47.538  INFO [file-center,,,] 1535968 --- [main] c.n.c.sources.URLConfigurationSource     : To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2019-11-21 11:39:47.811  INFO [file-center,,,] 1535968 --- [main] o.s.s.concurrent.ThreadPoolTaskExecutor  : Initializing ExecutorService 'applicationTaskExecutor'
2019-11-21 11:39:48.485  INFO [file-center,,,] 1535968 --- [main] o.s.b.a.e.web.EndpointLinksResolver      : Exposing 20 endpoint(s) beneath base path '/actuator'
2019-11-21 11:39:49.282  INFO [file-center,,,] 1535968 --- [main] com.netflix.discovery.DiscoveryClient    : Shutting down DiscoveryClient ...
2019-11-21 11:39:49.287  INFO [file-center,,,] 1535968 --- [main] com.netflix.discovery.DiscoveryClient    : Completed shut down of DiscoveryClient
2019-11-21 11:39:49.497  INFO [file-center,,,] 1535968 --- [main] o.s.c.n.eureka.InstanceInfoFactory       : Setting initial instance status as: STARTING
2019-11-21 11:39:49.501  INFO [file-center,,,] 1535968 --- [main] com.netflix.discovery.DiscoveryClient    : Initializing Eureka in region us-east-1
2019-11-21 11:39:49.503  INFO [file-center,,,] 1535968 --- [main] c.n.d.provider.DiscoveryJerseyProvider   : Using JSON encoding codec LegacyJacksonJson
2019-11-21 11:39:49.503  INFO [file-center,,,] 1535968 --- [main] c.n.d.provider.DiscoveryJerseyProvider   : Using JSON decoding codec LegacyJacksonJson
2019-11-21 11:39:49.503  INFO [file-center,,,] 1535968 --- [main] c.n.d.provider.DiscoveryJerseyProvider   : Using XML encoding codec XStreamXml
2019-11-21 11:39:49.503  INFO [file-center,,,] 1535968 --- [main] c.n.d.provider.DiscoveryJerseyProvider   : Using XML decoding codec XStreamXml
2019-11-21 11:39:49.580  INFO [file-center,,,] 1535968 --- [main] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2019-11-21 11:39:49.581  INFO [file-center,,,] 1535968 --- [main] com.netflix.discovery.DiscoveryClient    : Disable delta property : false
2019-11-21 11:39:49.581  INFO [file-center,,,] 1535968 --- [main] com.netflix.discovery.DiscoveryClient    : Single vip registry refresh property : null
2019-11-21 11:39:49.581  INFO [file-center,,,] 1535968 --- [main] com.netflix.discovery.DiscoveryClient    : Force full registry fetch : false
2019-11-21 11:39:49.581  INFO [file-center,,,] 1535968 --- [main] com.netflix.discovery.DiscoveryClient    : Application is null : false
2019-11-21 11:39:49.581  INFO [file-center,,,] 1535968 --- [main] com.netflix.discovery.DiscoveryClient    : Registered Applications size is zero : true
2019-11-21 11:39:49.581  INFO [file-center,,,] 1535968 --- [main] com.netflix.discovery.DiscoveryClient    : Application version is -1: true
2019-11-21 11:39:49.581  INFO [file-center,,,] 1535968 --- [main] com.netflix.discovery.DiscoveryClient    : Getting all instance registry info from the eureka server
2019-11-21 11:39:49.586  INFO [file-center,,,] 1535968 --- [main] com.netflix.discovery.DiscoveryClient    : The response status is 200
2019-11-21 11:39:49.586  INFO [file-center,,,] 1535968 --- [main] com.netflix.discovery.DiscoveryClient    : Starting heartbeat executor: renew interval is: 5
2019-11-21 11:39:49.588  INFO [file-center,,,] 1535968 --- [main] c.n.discovery.InstanceInfoReplicator     : InstanceInfoReplicator onDemand update allowed rate per min is 4
2019-11-21 11:39:49.589  INFO [file-center,,,] 1535968 --- [main] com.netflix.discovery.DiscoveryClient    : Discovery Client initialized at timestamp 1574307589589 with initial instances count: 7
2019-11-21 11:39:49.597  INFO [file-center,,,] 1535968 --- [main] o.s.c.n.e.s.EurekaServiceRegistry        : Registering application FILE-CENTER with eureka with status UP
2019-11-21 11:39:49.598  INFO [file-center,,,] 1535968 --- [main] com.netflix.discovery.DiscoveryClient    : Saw local status change event StatusChangeEvent [timestamp=1574307589598, current=UP, previous=STARTING]
2019-11-21 11:39:49.600  INFO [file-center,,,] 1535968 --- [DiscoveryClient-InstanceInfoReplicator-0] com.netflix.discovery.DiscoveryClient    : DiscoveryClient_FILE-CENTER/file-center:1366258388: registering service...
2019-11-21 11:39:49.685  INFO [file-center,,,] 1535968 --- [main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
2019-11-21 11:39:49.686  INFO [file-center,,,] 1535968 --- [main] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2019-11-21 11:39:49.711  INFO [file-center,,,] 1535968 --- [main] o.s.web.servlet.DispatcherServlet        : Completed initialization in 25 ms
2019-11-21 11:39:49.712  INFO [file-center,,,] 1535968 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port(s): 4000 (http) with context path ''
2019-11-21 11:39:49.713  INFO [file-center,,,] 1535968 --- [main] .s.c.n.e.s.EurekaAutoServiceRegistration : Updating port to 4000
2019-11-21 11:39:49.714  INFO [file-center,,,] 1535968 --- [main] c.b.mws.file.FileCenterApplication       : Started FileCenterApplication in 31.486 seconds (JVM running for 35.608)
2019-11-21 11:39:49.818  INFO [file-center,,,] 1535968 --- [DiscoveryClient-InstanceInfoReplicator-0] com.netflix.discovery.DiscoveryClient    : DiscoveryClient_FILE-CENTER/file-center:1366258388 - registration status: 204
2019-11-21 11:39:50.087  INFO [file-center,,,] 1535968 --- [RMI TCP Connection(4)-127.0.0.1] o.s.a.r.c.CachingConnectionFactory       : Attempting to connect to: [local.rabbitmq.com:5672]
2019-11-21 11:39:50.423  INFO [file-center,,,] 1535968 --- [RMI TCP Connection(4)-127.0.0.1] o.s.a.r.c.CachingConnectionFactory       : Created new connection: rabbitConnectionFactory#2093bb6c:0/SimpleConnection@2eb50951 [delegate=amqp://mws-dev@127.0.0.1:5672/, localPort= 65275]
2019-11-21 11:39:50.497  INFO [file-center,,,] 1535968 --- [RMI TCP Connection(4)-127.0.0.1] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Starting...
2019-11-21 11:39:51.324  INFO [file-center,,,] 1535968 --- [RMI TCP Connection(4)-127.0.0.1] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Start completed.
2019-11-21 11:39:51.389  INFO [file-center,,,] 1535968 --- [RMI TCP Connection(4)-127.0.0.1] c.c.c.ConfigServicePropertySourceLocator : Fetching config from server at : http://10.10.0.216:3000/
2019-11-21 11:39:51.714  INFO [file-center,,,] 1535968 --- [RMI TCP Connection(4)-127.0.0.1] c.c.c.ConfigServicePropertySourceLocator : Located environment: name=file-center, profiles=[dev], label=null, version=null, state=null
2019-11-21 11:40:26.582  INFO [file-center,8401eeed96e4e337,2cb30360a15b77d4,false] 1535968 --- [http-nio-4000-exec-1] c.benwunet.mws.file.utils.FastDFSClient  : 上传文件地址为：http://10.10.0.40/group1/M00/00/01/CgoAKF3WBymAPMP9AAvqH-Poukk330.jpg
2019-11-21 11:40:26.662  INFO [file-center,8401eeed96e4e337,2cb30360a15b77d4,false] 1535968 --- [http-nio-4000-exec-1] c.b.m.f.s.impl.AbstractFileService       : 上传文件：PubFileInfo(id=2b04df3ecc1d94afddff082d139c6f15, fileName=Koala.jpg, isImg=true, fileType=image/jpeg, fileSize=780831, filePath=group1/M00/00/01/CgoAKF3WBymAPMP9AAvqH-Poukk330.jpg, fileNetUrl=http://10.10.0.40/group1/M00/00/01/CgoAKF3WBymAPMP9AAvqH-Poukk330.jpg, fileSource=LOCAL, gmtCreate=Thu Nov 21 11:40:26 CST 2019, gmtModified=null, operatorId=null, operatorName=null, remark=null)
2019-11-21 11:44:49.600  INFO [file-center,,,] 1535968 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2019-11-21 11:49:49.619  INFO [file-center,,,] 1535968 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2019-11-21 11:54:49.637  INFO [file-center,,,] 1535968 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2019-11-21 11:59:49.655  INFO [file-center,,,] 1535968 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2019-11-21 12:04:49.673  INFO [file-center,,,] 1535968 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2019-11-21 12:09:49.692  INFO [file-center,,,] 1535968 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2019-11-21 12:14:49.710  INFO [file-center,,,] 1535968 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2019-11-21 12:19:49.728  INFO [file-center,,,] 1535968 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2019-11-21 12:24:49.747  INFO [file-center,,,] 1535968 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2019-11-21 12:29:49.766  INFO [file-center,,,] 1535968 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2019-11-21 12:34:49.785  INFO [file-center,,,] 1535968 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2019-11-21 12:39:49.803  INFO [file-center,,,] 1535968 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2019-11-21 12:44:49.822  INFO [file-center,,,] 1535968 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2019-11-21 12:49:49.840  INFO [file-center,,,] 1535968 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2019-11-21 12:54:49.858  INFO [file-center,,,] 1535968 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2019-11-21 12:59:49.877  INFO [file-center,,,] 1535968 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2019-11-21 13:04:49.895  INFO [file-center,,,] 1535968 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2019-11-21 13:09:49.913  INFO [file-center,,,] 1535968 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2019-11-21 13:14:49.932  INFO [file-center,,,] 1535968 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2019-11-21 13:19:49.951  INFO [file-center,,,] 1535968 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2019-11-21 13:24:49.969  INFO [file-center,,,] 1535968 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2019-11-21 13:29:49.987  INFO [file-center,,,] 1535968 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2019-11-21 13:34:50.005  INFO [file-center,,,] 1535968 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2019-11-21 13:39:50.044  INFO [file-center,,,] 1535968 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2019-11-21 13:44:50.130  INFO [file-center,,,] 1535968 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2019-11-21 13:49:50.148  INFO [file-center,,,] 1535968 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2019-11-21 13:54:50.167  INFO [file-center,,,] 1535968 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2019-11-21 13:59:50.185  INFO [file-center,,,] 1535968 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2019-11-21 14:04:50.203  INFO [file-center,,,] 1535968 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2019-11-21 14:09:50.222  INFO [file-center,,,] 1535968 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2019-11-21 14:14:50.241  INFO [file-center,,,] 1535968 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2019-11-21 14:19:50.259  INFO [file-center,,,] 1535968 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2019-11-21 14:24:50.279  INFO [file-center,,,] 1535968 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2019-11-21 14:29:50.298  INFO [file-center,,,] 1535968 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2019-11-21 14:34:50.316  INFO [file-center,,,] 1535968 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2019-11-21 14:39:50.334  INFO [file-center,,,] 1535968 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2019-11-21 14:44:50.353  INFO [file-center,,,] 1535968 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2019-11-21 14:49:50.372  INFO [file-center,,,] 1535968 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2019-11-21 14:54:50.392  INFO [file-center,,,] 1535968 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2019-11-21 14:59:50.412  INFO [file-center,,,] 1535968 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2019-11-21 15:04:50.430  INFO [file-center,,,] 1535968 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2019-11-21 15:09:50.448  INFO [file-center,,,] 1535968 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2019-11-21 15:14:50.466  INFO [file-center,,,] 1535968 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2019-11-21 15:19:50.485  INFO [file-center,,,] 1535968 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2019-11-21 15:24:50.504  INFO [file-center,,,] 1535968 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2019-11-21 15:29:50.524  INFO [file-center,,,] 1535968 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2019-11-21 15:34:50.542  INFO [file-center,,,] 1535968 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2019-11-21 15:39:50.561  INFO [file-center,,,] 1535968 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2019-11-21 15:44:50.580  INFO [file-center,,,] 1535968 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2019-11-21 15:49:50.599  INFO [file-center,,,] 1535968 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2019-11-21 15:54:50.617  INFO [file-center,,,] 1535968 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2019-11-21 15:59:50.638  INFO [file-center,,,] 1535968 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2019-11-21 16:04:50.658  INFO [file-center,,,] 1535968 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2019-11-21 16:09:50.678  INFO [file-center,,,] 1535968 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2019-11-21 16:14:50.700  INFO [file-center,,,] 1535968 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2019-11-21 16:19:50.719  INFO [file-center,,,] 1535968 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2019-11-21 16:24:50.737  INFO [file-center,,,] 1535968 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2019-11-21 16:29:50.757  INFO [file-center,,,] 1535968 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2019-11-21 16:34:50.776  INFO [file-center,,,] 1535968 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2019-11-21 16:39:50.794  INFO [file-center,,,] 1535968 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2019-11-21 16:44:50.813  INFO [file-center,,,] 1535968 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2019-11-21 16:49:50.831  INFO [file-center,,,] 1535968 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2019-11-21 16:54:50.851  INFO [file-center,,,] 1535968 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2019-11-21 16:59:50.874  INFO [file-center,,,] 1535968 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2019-11-21 17:04:50.893  INFO [file-center,,,] 1535968 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2019-11-21 17:09:50.913  INFO [file-center,,,] 1535968 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
